NGC 6543	PN
NGC 7027	PN
{gamma} Dra	
AFGL 2591	YSO
P Cyg	BlueSG*
Cyg OB2 No. 12	
HR 4049	post-AGB*
AG Car	BlueSG*
V778 Cyg	C*
{beta} Leo	
R Cas	Mira
NML Cyg	V*
{alpha} Boo +0.04, +1.0	RGB*
{beta} UMi	V*
IRAS 21282+5050	PN
{beta} Peg	LPV*
{mu} Cep	
AFGL 4106	SG*
HR 7341	Star
S 140	
{xi} Dra	PM*
{eta} Car	
{alpha} Boo +0.03, +0.9	RGB*
HD 161796	post-AGB*
{delta} Cen	Be*
Cha IRN	TTau*
HD 100546	Be*
{delta} Dra	
S Car	Mira
MR 35	WR*
MWC 198	Em*
HD 98434	semi-regV*
NGC 3918	PN
{gamma} Cru	PM*
HD 101584	post-AGB*
{theta} Aps	semi-regV*
Hen 2-131	PN
NGC 5315	PN
Circinus	Cloud
WR 48a	WR*
{alpha} Cen	**
R Cen	Mira
Hen 2-113	Candidate_post-AGB*
{alpha} UMi	deltaCep
{sigma} Dra	Star
{eta} Dra	V*
{kappa} Cyg	V*
{beta} Dra	Star
V Cyg	C*
X Her	semi-regV*
{alpha} Cyg	SG*
RCW 103	SNR
HR 5192	semi-regV*
{alpha} Sco	**
HD 150193	Be*
R Hya	Mira
RS Lib	Mira
HR 5301	semi-regV*
{alpha} Vir	PulsV*bCep
{beta} Lib	V*
{delta} Oph	V*
RX Boo	semi-regV*
89 Her	semi-regV*
R CrB	Erupt*RCrB
RV Boo	semi-regV*
VDB 145	*inNeb
IRAS 09425-6040	C*
Wray 15-543	PN
HR Car	BlueSG*
Roberts 22	
CPD-57 2874	Em*
CD-42 11721	Be*
NGC 6153	PN
MWC 247	PN
AH Sco	RedSG*
HD 147104	Star
HR 6076	*inNeb
IRAS 23304+6147	post-AGB*
W Hya	semi-regV*
S 140 -0.13, +0.5	
S 140 +26.6, +1.3	
S 140 +1 20.06, +2.9	
S 140 +2 13.42, +4.6	
NGC 7538 IRS1	
Off-{beta}Hyi	V*
HH 52	HH
HH 53A	HH
HH 54B	HH
NGC 6302	PN
NGC 6334I	Cl*
WR 98a	WR*
GC SgrA*	
GC Ring SW	
RAFGL 5379	Mira
GC Ring NE	
H 1-40	
H 1-9	
M 3-44	
PZ Cas	semi-regV*
AFGL 2999	semi-regV*
NGC 7538 IRS9	
VX Sgr	semi-regV*
M 17 +2.75, -26.0	
M 17 -0.04, -46.2	
M 17 -2.73, -1 6.4	
M 17 -5.52, -1 26.6	
W28 A2	HII
M 17 +7.94, +9 52.4	
Off-M17	
WR 104	WR*
M 17 +1.36, -36.1	
M 17 -1.43, -56.3	
M 17 -4.13, -1 16.5	
M 17 -6.92, -1 36.7	
{delta} Pav	V*
Z Cas	Mira
Ced 201	RfNeb
{delta}^2^ Lyr	semi-regV*
{sigma} Oph	V*
M 17 +4.15, -15.9	
M 17 -8.32, -1 46.8	
WR 112	WR*
CD-49 11554	post-AGB*
HD 104237	Ae*
HD 95881	Em*
HD 135344	Star
HD 142527	**
HD 139614	pMS*
HD 142666	TTau*
AC Her	PulsV*RVTau
{alpha} Lyr	
51 Oph	Be*
WR 118	WR*
OH 17.7-2.0	semi-regV*
LDN 1085	C*
T Dra	Mira
ZZ Her	Mira
V CrB	Mira
Granat 1915+105	LMXB
HD 179821	YellowSG*
RAFGL 5502	IR
R Sct	PulsV*RVTau
RMC 50	BlueSG*
M 82	IG
V438 Oph	semi-regV*
{[RLB93]} SMC-B2	
G333.13-0.43	Cloud
AFGL 4176	IR
RCW 97	HII
DoAr 21	Ae*
Off-DoAr21	
SIGMA_SCO_FIL	
{sigma} Sco	
RHO_OPH_CENTER	
T Sge	semi-regV*
GJ 735	Flare*
AX Sco	semi-regV*
RAFGL 5416	C*
NU Pav	semi-regV*
R Aql	Mira
RHO_OPH_WEST	
IRAS 15408-5356	HII
IRAS 16172-5028	HII
IRAS 16374-4701	HII
RR Tel	Symbiotic*
{gamma} Dra +0.60, +0.0	
{gamma} Dra +0.30, +0.0	
{gamma} Dra -0.30, +0.0	
{gamma} Dra -0.60, +0.0	
{gamma} Dra +0.00, -3.0	
KY Cyg	RedSG*
RW Cyg	semi-regV*
AFGL 2494	Mira
{alpha} Aql	PulsV*delSct
IRC +10420	YellowSG*
W 51 IRS2	
IRAS20028+3910	post-AGB*
HD 118685	S*
HU 2-1	
NGC 6886	PN
NGC 6790	PN
NGC 6741	PN
M 2-43	
WR 121	WR*
IRAS 18416-0421	YSO
AU Mic	BYDra
IRAS 17059-4132	HII
IRAS 17418-2713	OH/IR
HD 169142	Ae*
IRAS 17443-2949	PN?
{epsilon} Sgr	**
IRAS 17074-4549	HII
Hen 3-1333	PN
IRAS 17319-6234	Maser
MWC 1014	BlueSG*
Cyg OB2 No. 9	
NGC 6884	PN
H 1-12	
R CrA	Ae*
HD 165774	S*
RZ Sgr	S*
IRAS 07027-7934	PN
HD 97048	Ae*
{alpha} UMa	SB*
PV Cep	Orion_V*
HR 7847	**
{beta} Cap	SB*
HD 187885	post-AGB*
T Mic	semi-regV*
{beta} Gru	Candidate_LP*
S Pav	semi-regV*
X Pav	semi-regV*
K 3-50	HII
RMC 66	BlueSG*
RMC 71	BlueSG*
IRAS 18110-1854	HII
GGD 27 IRS	RfNeb
OO Ser	FUOr
S87 IRS1	HII
IRAS 19207+1410	Cl*
Hen 2-459	PN
DR 21	SFregion
Off-AFGL2688	post-AGB*
RAFGL 7009	HII
AFGL 2245	YSO
IRAS 18502+0051	YSO
RAFGL 5536	IR
MWC 922	Em*
{chi} Cyg	S*
IRAS 21489+5301	C*
M 1-78	HII
{mu} UMa	RRLyr
Y CVn	semi-regV*
TU CVn	semi-regV*
TRM 60	LPV*
S Sct	semi-regV*
V Aql	semi-regV*
W Aql	S*
{alpha} PsA	
NGC 7582	Seyfert_2
IRC -10529	Mira
Mrk 509	Seyfert_1
IRAS 09563-5743	IR
30 Dor	Cl*
IRAS 01039-7305	Em*
IRAS 00521-7054	Seyfert_2
{eta} UMa	V*
NGC 4151	Seyfert_1
{alpha} Aqr	Star
SV Peg	semi-regV*
GJ 406	Flare*
R Sge	PulsV*RVTau
WW Vul	Ae*
PK 56+2.1	PN
WR 134	WR*
Off-WR134	
S 140 +0.07, +3.5	SFregion
S 138	HII
HH 119A	HH
HH 119B	HH
HH 119C	HH
QSO 1821+643	Seyfert_1
Fairall 9	Seyfert_1
{alpha} Eri	Be*
W Hor	semi-regV*
{gamma} Vel	WR*
R Aqr	Symbiotic*
FG Sge	post-AGB*
Off-FGSge	
IRAS 19477+2401	post-AGB*
IRAS 23060+0505	Seyfert_2
A66 78	PN
IRAS 20406+2953	PN?
IRAS 20000+3239	post-AGB*
S Lac	Mira
MWC 349	Em*
IRAS 05294-7104	Mira
Mrk 477	Seyfert_2
IRC +10216	C*
{epsilon} Gru	
M 51 CCM72	
RZ Peg	Mira
